annee_scolaire;diplome;libelle_diplome;code_niveau;type_diplome;code_groupe_specialite;libelle_specialite;libelle_specialite_com;id_og;libelle_og;id_etab;nom_complet_cfa;numero_section;duree_formation_mois;annee_formation;id_siteformation;code_uai_site;libelle_lien_cfa;nom_site_formation;adresse1_site;adresse2_site;adresse3_site;code_commune_site_insee;code_postal_site;libelle_ville_site;num_section;age_jeune_decembre;handicap_oui_non_vide;code_sexe;sexe;code_qualite;libelle_qualite;code_nationalite;libelle_nationalite;code_pcs;libelle_pcs_parent;code_statut_jeune;libelle_statut_jeune;code_origine_prec_cfa;libelle_origine_prec_cfa;code_origine_annee_prec;libelle_origine_annee_prec;code_depart_jeune_insee;code_commune_jeune_insee;code_postal_jeune;libelle_ville_jeune;code_naf_entreprise;depart_entreprise;code_insee_entreprise;code_uai_etab_annee_prec
11/12;13531103;Science environnement, du territoire et de l'économie : ingénierie développement durable, spécialité science/technique génie logistique Internet, syst info, NTIC (MASTER Versailles);1;MASTER PRO;311;Transport, manutention, magasinage;Transport, logistique;17;Association Union Université Economie;18;CFA Union des Universités;53;24;1;1038;0783375V;Convention L6231-3;Université de Versailles Saint-Quentin en Yvelines;47 boulevard Vauban;;;78297;78047;GUYANCOURT;53;24;N;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;99;99999;95400;;2362Z;93;93074;93
11/12;50023317;Installateur sanitaire (CAP);5;CAP;233;Bâtiment : finitions;Bâtiment : finition;77;Association du CFA de la Couverture et de la Plomberie;112;CFA de la Couverture et de la Plomberie;1;24;1;1904;0941466H;Local du CFA;Lycée Maximilien-Perret;Place San Benedetto del Tronto;;;94002;94140;ALFORTVILLE;1;16;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;27;3EME TECHNOLOGIQUE (en collège);91;2EME ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);93;93007;93150;LE-BLANC-MESNIL;4322A;94;94041;93
11/12;13513608;Arts, lettres, langues : langues et cultures étrangères spé commerce international (MASTER Marne la vallée);1;MASTER PRO;136;Langues vivantes, civilisations étrangères et régionales;Lettres et arts;118;Association pour le Développement de la Formation Supérieure par Alternance;157;CFA Descartes de Marne la Vallée;155;12;1;1938;0772223Y;Convention L6231-3;Université de Marne-la-Vallée;Bâtiment Copernic;5 boulevard Descartes;;77083;77420;CHAMPS-SUR-MARNE;155;21;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;28;28220;28600;LUISANT;2910Z;75;75116;78
11/12;25031025;Management des organisations spé audit et contrôle de gestion des petites et moyennes organisations (LP Paris 13);2;LICENCE PRO;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;14;Association pour la Formation Universitaire par l'Apprentissage;14;CFA SUP 2000;152;12;1;767;0932270M;Convention L6231-3;Université Paris XIII - IUT de Bobigny;1 rue de Chablis;;;93008;93000;BOBIGNY;152;22;;F;Féminin;E;Externe;1;France;35;Profession de l'information, des arts et du spectacle;A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);61;2EME ANNEE BTS (en lycée);93;93005;93600;AULNAY-SOUS-BOIS;4120B;60;60471;93
11/12;;Technicien supérieur en gestion des ressources humaines (du Paris 1);2;TH2-U;315;Ressources humaines, gestion du personnel, gestion de l'emploi;Gestion des ressources humaines;141;FORMASUP PARIS;257;CFA FORMASUP Paris;149;12;1;1275;0751717J;UFA (L6232-8);Université Paris I - Panthéon Sorbone;12 place du Panthéon;;;75105;75005;PARIS;149;24;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;94;94080;94300;VINCENNES;6512Z;92;92062;75
11/12;;Technicien supérieur en gestion des ressources humaines (du Paris 1);2;TH2-U;315;Ressources humaines, gestion du personnel, gestion de l'emploi;Gestion des ressources humaines;141;FORMASUP PARIS;257;CFA FORMASUP Paris;149;12;1;1275;0751717J;UFA (L6232-8);Université Paris I - Panthéon Sorbone;12 place du Panthéon;;;75105;75005;PARIS;149;22;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;78;78124;78420;CARRIERES-SUR-SEINE;6820A;75;75113;75
11/12;13512805;Droit : droit social spé droit et pratique des relations de travail (MASTER Paris 2);1;MASTER PRO;128;Droit, sciences politiques;Sciences humaines et droit;141;FORMASUP PARIS;257;CFA FORMASUP Paris;62;12;1;758;0751718K;Convention L6231-3;Université Paris II - Panthéon Assas;12 place du Panthéon;;;75105;75005;PARIS;62;23;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;75;75119;75019;PARIS;6910Z;75;75108;75
11/12;35031201;Techniques de commercialisation (DUT);3;DUT;312;Commerce, vente;Commerce, vente;118;Association pour le Développement de la Formation Supérieure par Alternance;157;CFA Descartes de Marne la Vallée;98;24;1;1560;0772717K;Convention L6231-3;Institut de Formation Industrie Santé;6 Cours du Danube;;;77449;77700;SERRIS;98;19;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;51;TERMINALE GENERALE (en lycée);51;TERMINALE GENERALE (en lycée);77;77390;77680;ROISSY-EN-BRIE;6110Z;75;75105;77
11/12;13531406;Gestion : management des organisations spé contrôle audit (MASTER Paris 1);1;MASTER PRO;314;Comptabilité, gestion;Comptabilité, gestion;141;FORMASUP PARIS;257;CFA FORMASUP Paris;49;12;1;2027;0753364Z;UFA (L6232-8);IAE de Paris;21 rue Broca;;;75105;75005;PARIS;49;24;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;95;95563;95320;SAINT-LEU-LA-FORET;6130Z;92;92040;75
11/12;13531505;Gestion : management des organisations spé management des ressources humaines et responsabilité sociale de l'entreprise (MASTER Paris 1);1;MASTER PRO;315;Ressources humaines, gestion du personnel, gestion de l'emploi;Gestion des ressources humaines;141;FORMASUP PARIS;257;CFA FORMASUP Paris;81;12;1;2027;0753364Z;UFA (L6232-8);IAE de Paris;21 rue Broca;;;75105;75005;PARIS;81;25;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;107;APPRENTISSAGE BAC+4 (STATUT APPRENTISSAGE);107;APPRENTISSAGE BAC+4 (STATUT APPRENTISSAGE);92;92007;92220;BAGNEUX;4910Z;75;75113;75
11/12;16531008;Diplôme supérieur de management d'entrepreneuriat de l'école ADVANCIA;1;DIP GVM;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;63;Chambre de Commerce et d'Industrie de Paris;368;CFA CCIP - NOVANCIA;33;24;2;1583;0755344B;Annexe du CFA;NOVANCIA;3 rue Armand Moisant;;;75115;75015;PARIS;33;24;;F;Féminin;D;Demi-pensionnaire;1;France;52;Employé civil - agent service fonction publique;A;Contrat d'apprentissage;117;AUTRE;107;APPRENTISSAGE BAC+4 (STATUT APPRENTISSAGE);95;95176;95240;CORMEILLES-EN-PARISIS;4618Z;95;95450;75
11/12;32031406;Comptabilité et gestion des organisations (BTS);3;BTS;314;Comptabilité, gestion;Comptabilité, gestion;54;Association de Gestion des Formations en Alternance pour les PME;62;CFA PME apprentissage;45;24;1;107;0922276Z;Convention L6231-3;Lycée Santos-Dumont;39 rue Pasteur;;;92064;92210;SAINT-CLOUD;45;20;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);92;92072;92310;SEVRES;6491Z;92;92062;993
11/12;;Chef de produit (Titre Professionnel InIV 2 ISEE);2;TH2-X;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;56;Association pour la Promotion et la Gestion d'un Centre d'Enseignement Supérieur par l'Apprentissage à Evry;69;CFA d' Évry Val d'Essonne;129;24;1;2569;0755058R;Convention L6231-3;ISEE - Institut Supérieur d'Enseignement au Management des Entreprises;55 rue de Montreuil;;;75111;75011;PARIS;129;24;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;111;EMPLOI (Y COMPRIS CES);111;EMPLOI (Y COMPRIS CES);75;75115;75015;PARIS;7022Z;92;92012;993
11/12;45023212;Maçon (BP);4;BP;232;Bâtiment : construction et couverture;Bâtiment : construction et couverture;147;"FEDERATION COMPAGNONNIQUE DES METIERS DU BATIMENTS ""Groupe Ile de France""";217;CFA Compagnonnique d'Apprentissage Île-de-France;24;24;1;709;0772547A;Local du CFA;Ferme Saint-Germain-des-Noyers;2 route de Guermantes;;;77438;77400;SAINT-THIBAULT-DES-VIGNES;24;17;;M;Masculin;D;Demi-pensionnaire;1;France;37;Cadre administratif et commercial d'entreprise;A;Contrat d'apprentissage;23;3EME GENERALE (en collège);75;2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);77;77350;77330;OZOIR-LA-FERRIERE;4322A;77;77373;993
11/12;50023441;Menuisier fabricant de menuiserie, mobilier et agencement (CAP);5;CAP;234;Travail du bois et de l'ameublement;Travail du bois et de l'ameublement;89;Chambre des Professionnels du Bois, Charpente Menuiserie Agencement;127;CFA de la Chambre des professionnels du bois;9;12;1;225;0751461F;Local du CFA;CFA Chambre des Professionnels du Bois;93 rue de l'Ouest;;;75114;75014;PARIS;9;24;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;65;2EME ANNEE IUT;65;2EME ANNEE IUT;75;75118;75018;PARIS;4673A;92;92064;75
11/12;40025207;Maintenance des véhicules automobiles option : voitures particulières (BAC PRO);4;BAC PRO;252;Moteurs et mécanique auto;Moteurs et mécanique auto;8;Ecole de Travail ORT;8;CFA École de travail ORT;42;36;3;18;0751488K;Local du CFA;CFA Ecole de Travail ORT;4 bis rue des Rosiers;;;75104;75004;PARIS;42;21;N;M;Masculin;E;Externe;1;France;61;Ouvrier qualifié;A;Contrat d'apprentissage;15;4EME GENERALE (en collège);91;2EME ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);75;75112;75012;PARIS;4520B;94;94081;0751488K
11/12;25031017;Management des organisations spé responsable point de vente (LP Marne la Vallée);2;LICENCE PRO;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;118;Association pour le Développement de la Formation Supérieure par Alternance;157;CFA Descartes de Marne la Vallée;103;12;1;1057;0772468P;Local du CFA;CFA Descartes de Marne la Vallée;4 - 6 allée Kepler -;Parc de la Haute Maison;;77083;77420;CHAMPS-SUR-MARNE;103;22;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;65;2EME ANNEE IUT;65;2EME ANNEE IUT;91;91097;91800;BOUSSY-SAINT-ANTOINE;2364Z;94;94011;77
11/12;35032002;Services et réseaux de communication (DUT);3;DUT;320;Spécialités plurivalentes de la communication;Communication;118;Association pour le Développement de la Formation Supérieure par Alternance;157;CFA Descartes de Marne la Vallée;19;24;1;1057;0772468P;Local du CFA;CFA Descartes de Marne la Vallée;4 - 6 allée Kepler -;Parc de la Haute Maison;;77083;77420;CHAMPS-SUR-MARNE;19;19;;M;Masculin;E;Externe;1;France;34;Professeur et assimilé;A;Contrat d'apprentissage;53;TERMINALE TECHNOLOGIQUE (en lycée);97;1ERE ANNEE DUT (STATUT APPRENTISSAGE);95;95074;95000;BOISEMONT;6110Z;93;93051;0772468P
11/12;13534318;Sciences, technologies, santé : génie urbain spé management et ingénierie des services + l'environnement (MASTER Marne la vallée);1;MASTER PRO;343;Nettoyage, assainissement, protection de l'environnement;Hygiène, propreté et environnement;118;Association pour le Développement de la Formation Supérieure par Alternance;157;CFA Descartes de Marne la Vallée;172;15;1;586;0932287F;Convention L6231-3;Institut Francilien d'Ingéniérie;2 allée du Promontoire;;;93051;93160;NOISY-LE-GRAND;172;21;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;53;53104;53200;GENNES SUR GLAIZE;8411Z;50;50218;77
11/12;25032611;Systèmes informatiques et logiciels spé analyste-concepteur de systèmes d'information et de décision (LP CNAM);2;LICENCE PRO;326;Informatique, traitement de l'information, réseaux de transmission des données;Informatique, réseaux;141;FORMASUP PARIS;257;CFA FORMASUP Paris;35;12;1;1989;0753471R;UFA (L6232-8);Conservatoire National des Arts et Métiers - CNAM;292 rue Saint-Martin;;;75103;75003;PARIS;35;21;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);61;2EME ANNEE BTS (en lycée);77;77014;77210;AVON;4651Z;95;95063;75
11/12;15531501;Diplôme grade master de Sciences Po : gestion des ressources humaines;1;DIP GM;315;Ressources humaines, gestion du personnel, gestion de l'emploi;Gestion des ressources humaines;141;FORMASUP PARIS;257;CFA FORMASUP Paris;168;12;1;1023;0753431X;UFA (L6232-8);Institut des Etudes Politiques de Paris;27 rue Saint-Guillaume;;;75107;75007;PARIS;168;23;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;93;93029;93700;DRANCY;2651A;75;75115;75
11/12;50031117;Conducteur routier marchandises (CAP);5;CAP;311;Transport, manutention, magasinage;Transport, logistique;362;Association pour le Développement de la Formation dans le transport - AFT;457;CFA des Métiers du Transport et de la Logistique - Tremblay S/ Maudre;27;24;2;2490;0780762E;Local du CFA;CFATL - CFA des Métiers du Transport et de la Logistique;43 rue du Général de Gaulle;;;78623;78490;LE-TREMBLAY-SUR-MAULDRE;27;24;;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;75;2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);73;1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);27;27375;27400;LOUVIERS;4942Z;27;27624;0780762E
